customer_id,age_band,gender,total_visits,total_spend,avg_basket_value
C0001,25-34,F,1,15.76,15.76
C0002,55+,M,3,47.91,15.969999999999999
C0003,35-44,M,2,15.29,7.645
C0004,35-44,M,2,17.58,8.79
C0005,18-24,M,2,7.23,3.615
C0006,18-24,M,2,15.870000000000001,7.9350000000000005
C0007,18-24,F,3,15.95,5.316666666666666
C0008,45-54,M,4,41.75,10.4375
C0009,35-44,F,2,8.58,4.29
C0010,35-44,F,1,26.34,26.34
C0011,18-24,M,1,21.08,21.08
C0012,55+,M,2,3.83,1.915
C0013,45-54,F,5,28.12,5.6240000000000006
C0014,25-34,M,1,0.0,0.0
C0015,18-24,M,2,32.31,16.155
C0016,18-24,F,1,0.0,0.0
C0017,25-34,F,2,18.23,9.115
C0018,35-44,M,5,67.53,13.506
C0019,25-34,F,1,8.59,8.59
C0020,25-34,M,1,9.22,9.22
C0021,35-44,M,4,47.11,11.7775
C0022,18-24,M,1,0.0,0.0
C0023,25-34,F,3,15.31,5.1033333333333335
C0024,25-34,F,1,24.3,24.3
C0025,25-34,F,1,0.0,0.0
C0026,45-54,F,1,24.01,24.01
C0027,18-24,F,1,28.51,28.51
C0028,35-44,M,5,67.25,13.45
C0029,35-44,M,1,34.88,34.88
C0030,18-24,M,3,29.53,9.843333333333334
C0031,35-44,M,3,14.17,4.723333333333334
C0032,18-24,F,3,1.58,0.5266666666666667
C0033,18-24,M,1,12.17,12.17
C0034,55+,F,1,17.53,17.53
C0035,55+,M,1,11.58,11.58
C0036,45-54,F,1,0.0,0.0
C0037,25-34,F,1,0.0,0.0
C0038,18-24,M,5,51.26,10.251999999999999
C0039,35-44,M,1,8.55,8.55
C0040,25-34,M,2,10.69,5.345
C0041,18-24,M,3,31.72,10.573333333333332
C0042,25-34,F,3,20.53,6.843333333333334
C0043,18-24,M,1,0.0,0.0
C0044,55+,M,1,10.06,10.06
C0045,25-34,F,1,7.02,7.02
C0046,35-44,M,5,70.21000000000001,14.042000000000002
C0047,25-34,M,4,9.13,2.2825
C0048,35-44,M,4,27.299999999999997,6.824999999999999
C0049,35-44,M,1,0.0,0.0
C0050,18-24,M,2,6.09,3.045
C0051,55+,F,1,4.72,4.72
C0052,45-54,M,5,20.16,4.032
C0053,55+,M,4,36.69,9.1725
C0054,45-54,M,1,0.0,0.0
C0055,35-44,M,1,4.8,4.8
C0056,55+,M,4,23.049999999999997,5.762499999999999
C0057,18-24,F,3,7.53,2.5100000000000002
C0058,18-24,M,1,0.0,0.0
C0059,18-24,F,3,30.990000000000002,10.33
C0060,25-34,F,2,12.23,6.115
C0061,25-34,M,1,0.0,0.0
C0062,25-34,M,2,0.0,0.0
C0063,45-54,M,4,32.07,8.0175
C0064,25-34,M,4,42.89,10.7225
C0065,25-34,F,1,20.65,20.65
C0066,35-44,M,5,24.09,4.818
C0067,18-24,M,2,18.92,9.46
C0068,45-54,M,1,0.0,0.0
C0069,18-24,M,1,12.03,12.03
C0070,55+,M,1,0.0,0.0
C0071,45-54,M,2,0.0,0.0
C0072,18-24,F,3,11.93,3.9766666666666666
C0073,18-24,F,2,4.13,2.065
C0074,45-54,M,4,0.0,0.0
C0075,35-44,M,1,6.99,6.99
C0076,35-44,M,1,0.0,0.0
C0077,45-54,F,2,9.66,4.83
C0078,18-24,M,1,10.76,10.76
C0079,25-34,F,3,32.8,10.933333333333332
C0080,18-24,M,1,12.49,12.49
C0081,45-54,M,1,0.0,0.0
C0082,35-44,M,1,6.35,6.35
C0083,25-34,M,1,4.61,4.61
C0084,18-24,F,1,11.43,11.43
C0085,25-34,F,1,0.0,0.0
C0086,25-34,M,1,4.01,4.01
C0087,35-44,M,1,8.43,8.43
C0088,35-44,F,1,5.43,5.43
C0089,45-54,F,1,0.97,0.97
C0090,25-34,F,3,40.78,13.593333333333334
C0091,18-24,F,1,1.25,1.25
C0092,35-44,M,2,12.46,6.23
C0093,45-54,F,3,30.08,10.026666666666666
C0094,35-44,M,2,4.51,2.255
C0095,45-54,F,2,7.14,3.57
C0096,25-34,F,2,6.41,3.205
C0097,35-44,F,4,25.09,6.2725
C0098,25-34,F,2,25.86,12.93
C0099,18-24,F,3,0.0,0.0
C0100,18-24,M,4,47.47,11.8675
C0101,18-24,M,4,28.71,7.1775
C0102,35-44,F,1,0.0,0.0
C0103,25-34,F,2,8.05,4.025
C0104,35-44,M,1,10.66,10.66
C0105,55+,F,3,8.46,2.8200000000000003
C0106,25-34,F,5,21.23,4.246
C0107,25-34,M,1,0.0,0.0
C0108,45-54,F,3,29.02,9.673333333333334
C0109,25-34,F,2,3.74,1.87
C0110,18-24,M,3,12.57,4.19
C0111,25-34,M,1,11.5,11.5
C0112,18-24,M,2,18.93,9.465
C0113,55+,F,3,16.2,5.3999999999999995
C0114,45-54,M,1,1.46,1.46
C0115,35-44,M,5,46.4,9.28
C0116,45-54,M,1,0.0,0.0
C0117,45-54,M,1,7.45,7.45
C0118,18-24,M,1,13.7,13.7
C0119,45-54,M,3,13.7,4.566666666666666
C0120,35-44,F,1,11.77,11.77
C0121,45-54,F,1,21.88,21.88
C0122,45-54,M,2,11.16,5.58
C0123,25-34,M,2,22.1,11.05
C0124,18-24,M,4,28.5,7.125
C0125,25-34,F,3,19.729999999999997,6.576666666666665
C0126,25-34,F,4,50.19,12.5475
C0127,45-54,F,1,0.0,0.0
C0128,45-54,F,2,12.11,6.055
C0129,18-24,F,4,24.93,6.2325
C0130,35-44,F,2,16.98,8.49
C0131,25-34,F,2,13.41,6.705
C0132,25-34,F,1,0.0,0.0
C0133,18-24,F,1,6.75,6.75
C0134,25-34,M,1,15.55,15.55
C0135,55+,M,1,2.81,2.81
C0136,25-34,M,2,28.68,14.34
C0137,35-44,M,2,12.5,6.25
C0138,35-44,F,3,44.84,14.946666666666667
C0139,25-34,F,2,10.66,5.33
