customer_id,visit_date,kiosk_id,city,visit_number,weekday_flag,dwell_time_minutes,promo_exposed,spend_amount,items_purchased,payment_type
C0001,2024-05-13,K15,Denpasar,1,1,17.45181455846823,0,15.76,2,wallet
C0002,2024-02-07,K4,Surabaya,1,1,15.603865245702888,1,16.29,3,wallet
C0002,2024-04-27,K5,Denpasar,2,0,7.106181421088463,0,6.71,1,card
C0002,2024-04-04,K20,Bandung,3,1,14.585078650589802,1,24.91,2,cash
C0003,2024-12-11,K1,Medan,1,1,6.372554763508117,0,10.27,1,wallet
C0003,2024-11-23,K19,Denpasar,2,0,18.509245840800475,0,5.02,1,wallet
C0004,2024-10-28,K14,Medan,1,1,12.278624561443474,0,0.0,0,cash
C0004,2024-11-04,K9,Bandung,2,1,16.26123244515134,1,17.58,2,card
C0005,2024-12-12,K12,Bandung,1,1,10.771284679570279,0,0.54,2,cash
C0005,2024-06-09,K18,Denpasar,2,0,14.226994122058702,0,6.69,2,wallet
C0006,2024-12-25,K13,Bandung,1,1,12.990423803839274,0,8.43,1,card
C0006,2024-10-12,K1,Bandung,2,0,18.94291134520144,0,7.44,2,card
C0007,2024-05-11,K7,Bandung,1,0,2.0,0,0.0,0,wallet
C0007,2024-06-10,K3,Bandung,2,1,18.357775474970794,0,15.95,2,cash
C0007,2024-08-16,K1,Medan,3,1,10.246592360606064,0,0.0,0,card
C0008,2024-06-13,K14,Surabaya,1,1,10.85391974223204,0,0.0,0,card
C0008,2024-03-25,K19,Medan,2,1,18.83685127360997,1,0.0,0,cash
C0008,2024-08-21,K12,Medan,3,1,5.597853237518585,0,16.18,2,wallet
C0008,2024-12-20,K17,Surabaya,4,1,13.422362945847702,0,25.57,1,card
C0009,2024-01-09,K7,Jakarta,1,1,12.85432719063971,1,8.58,2,wallet
C0009,2024-04-07,K11,Surabaya,2,0,11.080083318236603,0,0.0,0,card
C0010,2024-01-17,K6,Bandung,1,1,11.895756196674318,0,26.34,1,card
C0011,2024-06-21,K2,Medan,1,1,9.522463317652582,1,21.08,1,cash
C0012,2024-10-08,K11,Bandung,1,1,18.706559598500675,0,0.0,0,wallet
C0012,2024-02-24,K5,Jakarta,2,0,13.488801254591987,0,3.83,3,wallet
C0013,2024-07-19,K9,Jakarta,1,1,20.274891878682926,0,1.43,1,cash
C0013,2024-05-10,K12,Medan,2,1,8.478604347050535,1,0.0,0,card
C0013,2024-10-01,K12,Bandung,3,1,17.050707302143092,1,13.39,1,wallet
C0013,2024-07-16,K9,Denpasar,4,1,15.672264037251502,1,10.18,2,card
C0013,2024-10-08,K18,Bandung,5,1,17.26576426666452,1,3.12,2,card
C0014,2024-04-12,K3,Medan,1,1,6.787575628864307,1,0.0,0,cash
C0015,2024-12-14,K1,Denpasar,1,0,5.252682142872382,0,19.6,2,wallet
C0015,2024-09-07,K3,Bandung,2,0,9.413557749498139,0,12.71,1,card
C0016,2024-09-22,K7,Medan,1,0,19.0467372009279,1,0.0,0,cash
C0017,2024-06-06,K14,Jakarta,1,1,20.06984910363722,0,13.42,1,card
C0017,2024-05-19,K7,Bandung,2,0,16.009286660200832,1,4.81,2,cash
C0018,2024-02-28,K14,Surabaya,1,1,14.986530207326538,0,5.62,1,cash
C0018,2024-08-28,K17,Jakarta,2,1,14.540948887460651,1,11.74,2,card
C0018,2024-06-26,K9,Medan,3,1,8.670307586023018,0,32.7,2,card
C0018,2024-11-18,K9,Bandung,4,1,14.717495513946709,0,0.0,0,cash
C0018,2024-05-03,K5,Surabaya,5,1,14.75533872737954,0,17.47,1,wallet
C0019,2024-10-27,K3,Surabaya,1,0,17.51856934695299,1,8.59,3,wallet
C0020,2024-02-28,K11,Denpasar,1,1,17.333373447945768,1,9.22,2,cash
C0021,2024-02-14,K10,Surabaya,1,1,9.29050437805726,1,18.39,2,wallet
C0021,2024-07-24,K2,Denpasar,2,1,12.955495340099517,1,13.18,3,cash
C0021,2024-12-09,K19,Surabaya,3,1,17.93193706107644,0,8.64,3,wallet
C0021,2024-10-04,K18,Medan,4,1,17.36815874929886,0,6.9,2,card
C0022,2024-04-29,K18,Denpasar,1,1,6.867423502944699,0,0.0,0,cash
C0023,2024-01-07,K1,Bandung,1,0,11.435041090659567,1,0.0,0,card
C0023,2024-02-08,K11,Medan,2,1,14.31861928695216,0,2.66,3,cash
C0023,2024-12-02,K15,Denpasar,3,1,5.863701095395713,0,12.65,3,cash
C0024,2024-01-15,K17,Jakarta,1,1,14.51211064595206,0,24.3,3,wallet
C0025,2024-05-24,K8,Bandung,1,1,20.60415148559767,1,0.0,0,card
C0026,2024-06-29,K9,Jakarta,1,0,19.505194200022302,0,24.01,2,card
C0027,2024-12-09,K15,Bandung,1,1,10.07469869070247,1,28.51,1,wallet
C0028,2024-09-23,K15,Medan,1,1,9.983552490134398,1,6.75,2,wallet
C0028,2024-08-29,K1,Denpasar,2,1,12.188301165839688,0,3.86,2,cash
C0028,2024-06-14,K12,Jakarta,3,1,15.116549033273019,1,16.49,1,card
C0028,2024-01-09,K8,Surabaya,4,1,8.765316111472131,1,8.72,2,card
